0.000000, 0.000000, 1.012680, 2.025360
1.012680, 2.025360, -1.024537, -1.528569
-1.024537, -1.528569, -4.448206, -1.475119
-4.448206, -1.475119, -4.735023, -0.350605
-4.735023, -0.350605, -1.673871, -7.854240
-1.673871, -7.854240, 8.842631, -3.891146
8.842631, -3.891146, 7.396048, -5.045091
7.396048, -5.045091, -1.377401, -1.729361
-1.377401, -1.729361, -2.402839, -7.536083
-2.402839, -7.536083, 2.792396, -0.677488
2.792396, -0.677488, 9.087522, -4.321987
9.087522, -4.321987, 9.081898, -4.779944
9.081898, -4.779944, 8.697006, -3.634945
8.697006, -3.634945, 7.778624, -2.565236
7.778624, -2.565236, 2540.912163, 10818.876735
