-1.056226, 0.806924, -2.809973, 2.141040
9.137565, -7.232959, 7.559605, -6.296803
-1.651200, -2.508561, -0.052030, -2.378399
1.749451, -6.993134, -2.232909, -5.831752
2.785092, -2.488928, -1.729816, -0.600290
-4.402765, -7.653238, -1.225788, -3.948291
-4.763239, 1.478842, -0.770044, 5.657894
8.984324, 5.685637, 8.735446, 7.088421
1.622690, -4.206332, -1.953011, 0.737667
1.756004, -9.311812, -3.157934, -6.970279
0.530483, -4.454700, 5.376669, 0.178010
3.215821, -9.856033, 7.378393, -6.466495
-0.667627, 5.175761, -3.389878, 8.646021
2.415281, -2.680922, -2.407407, 0.710752
-4.631074, -1.828326, -0.683962, 0.581263
-2.427566, -4.820784, 0.240362, -0.444735
-7.472466, 4.323543, -7.668243, 9.090687
7.172120, 0.505563, 2.234073, 1.942374
3.782493, -1.529198, 8.471052, 1.596660
-6.619664, 5.770729, -3.872540, 8.875987
5.458592, -1.802186, 1.718243, 1.646100
3.690388, 6.231602, 4.190586, 8.337685
2.845117, 2.210940, 3.291298, 3.291143
0.090109, -6.544680, -1.613892, -1.961410
